Sort algorithm time record(Millisecond):,,,,,,,,,,,
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
100,0.00229999,0.0035,0.007,0.0171,0.00309998,0.00409998,0.00460004,0.00329999,0.00209998,0.00609998,0.00869995
200,0.005,0.00739996,0.0139,0.00570001,0.0065,0.00889996,0.01,0.00720001,0.00670001,0.0203,0.034
300,0.00779999,0.0107,0.0206,0.00909998,0.0104,0.0141,0.0146,0.0119,0.0123,0.0565,0.089
400,0.0104,0.0133,0.0446,0.0126,0.0137,0.0186,0.0355,0.0167,0.0215,0.0702,0.1508
500,0.0129,0.0167,0.0326,0.0155,0.0171,0.0241,0.0291,0.0209,0.0328,0.1265,0.2223
600,0.016,0.0368,0.0528,0.0193,0.0209,0.0291,0.0329,0.0255,0.0495,0.1767,0.3486
700,0.0196,0.0245,0.0468,0.0232,0.025,0.035,0.0426,0.032,0.0663,0.2155,0.422
800,0.0231,0.0292,0.0535,0.027,0.0292,0.0403,0.0535,0.0375,0.0845,0.2843,0.5478
900,0.0255,0.0402,0.0585,0.0315,0.0348,0.0467,0.0596,0.0431,0.105,0.359,0.868
1000,0.0413,0.0534,0.0664,0.0488,0.0367,0.0663,0.0769,0.0645,0.1401,0.4898,0.9456
1100,0.0304,0.0673,0.0859,0.0382,0.0414,0.0556,0.0687,0.0539,0.1521,0.5384,1.0586
1200,0.0346,0.0442,0.076,0.0428,0.0452,0.0609,0.0818,0.0604,0.2163,0.7162,1.2701
1300,0.0394,0.0468,0.0821,0.0464,0.0488,0.1006,0.1396,0.0811,0.2072,0.777,1.5616
1400,0.0422,0.0503,0.1189,0.0499,0.0534,0.0723,0.0878,0.0703,0.2416,0.8985,1.8039
1500,0.0452,0.054,0.0946,0.0816,0.0571,0.078,0.0936,0.1039,0.31,1.0545,2.26
1600,0.0475,0.0591,0.1033,0.0579,0.0817,0.0968,0.1059,0.0823,0.3188,1.0864,2.1858
1700,0.0802,0.0662,0.1235,0.0647,0.0819,0.0894,0.1077,0.0897,0.45,1.3277,2.8761
1800,0.0676,0.0885,0.1325,0.0857,0.0976,0.1226,0.1506,0.0936,0.4039,1.3745,3.0416
1900,0.057,0.0715,0.1242,0.0971,0.0754,0.1139,0.158,0.1314,0.4663,1.6248,3.4196
2000,0.0732,0.0727,0.1303,0.1078,0.0791,0.1055,0.1287,0.1068,0.5117,1.6552,3.6786
2100,0.0997,0.0927,0.1845,0.1201,0.1261,0.141,0.1406,0.1423,0.6136,2.0734,3.9798
2200,0.0654,0.0842,0.1727,0.1004,0.1007,0.1492,0.151,0.1214,0.7093,2.1466,4.3814
2300,0.0799,0.1143,0.1796,0.1155,0.1068,0.1373,0.1758,0.1542,0.7929,2.36,4.9491
2400,0.0741,0.1203,0.1869,0.1284,0.0915,0.1577,0.1683,0.1602,0.7907,2.4615,5.6463
2500,0.109,0.1696,0.1953,0.1184,0.1006,0.1448,0.1708,0.1402,0.8112,2.861,5.8414
2600,0.1121,0.1131,0.1821,0.0997,0.1025,0.1404,0.1854,0.1649,1.0807,3.1857,7.1433
2700,0.0891,0.1071,0.1842,0.1075,0.1149,0.1501,0.1967,0.1601,1.0096,3.5503,7.402
2800,0.1321,0.1066,0.2753,0.1421,0.131,0.1886,0.2139,0.1692,1.3775,3.8336,7.4195
2900,0.0975,0.1126,0.2648,0.117,0.1213,0.2061,0.2293,0.1773,1.329,4.8582,9.0499
3000,0.1372,0.1546,0.3008,0.1522,0.1607,0.2479,0.2338,0.3042,2.024,4.3238,8.9231
3100,0.1021,0.1233,0.205,0.1254,0.1272,0.1732,0.2329,0.2378,2.31,5.25,9.3281
3200,0.1374,0.1553,0.2199,0.1296,0.1316,0.1836,0.2358,0.1901,1.4854,4.7351,10.2723
3300,0.1243,0.144,0.2295,0.146,0.1858,0.2092,0.317,0.2094,1.5296,4.6748,10.3257
3400,0.1238,0.1346,0.2214,0.1493,0.1827,0.1853,0.2464,0.2303,1.7282,5.1429,10.8045
3500,0.116,0.1413,0.2336,0.1444,0.1467,0.2002,0.277,0.223,1.7259,5.4954,11.3939
3600,0.1179,0.1461,0.2502,0.149,0.1663,0.2022,0.2955,0.2444,2.1466,5.9162,12.6186
3700,0.225,0.1491,0.3247,0.2357,0.2544,0.2775,0.3074,0.3516,2.3293,7.5388,13.4859
3800,0.1914,0.1809,0.2909,0.1945,0.2364,0.2088,0.313,0.2697,3.1137,6.793,13.1439
3900,0.1321,0.1584,0.278,0.1583,0.196,0.242,0.4121,0.3711,2.2035,7.5328,15.0521
4000,0.1279,0.2355,0.4118,0.1805,0.185,0.2705,0.3981,0.3044,2.0905,7.6363,15.4752
4100,0.1391,0.2065,0.3395,0.1679,0.1725,0.2237,0.3534,0.2615,2.3655,7.9299,16.1548
4200,0.1396,0.1704,0.2779,0.1763,0.184,0.2494,0.3208,0.2579,2.2424,9.7007,18.3589
4300,0.1955,0.2501,0.4118,0.2447,0.2126,0.2436,0.4408,0.3791,3.1902,10.3528,19.3321
4400,0.1725,0.1842,0.2913,0.1857,0.2302,0.3116,0.4283,0.3401,3.1503,10.4464,19.7769
4500,0.159,0.2105,0.3257,0.1926,0.2034,0.2916,0.3666,0.292,3.0311,9.3558,19.6372
4600,0.2172,0.2125,0.3894,0.2528,0.2424,0.2804,0.3574,0.316,2.7381,9.2357,20.4479
4700,0.1571,0.2217,0.3377,0.2022,0.2114,0.2857,0.3737,0.2957,3.2234,10.9236,22.2011
4800,0.2174,0.2162,0.3263,0.232,0.2046,0.3218,0.4333,0.3068,5.5003,12.4616,22.6854
4900,0.1927,0.1951,0.3529,0.2206,0.2756,0.3277,0.4243,0.3657,3.6695,11.141,22.0567
5000,0.1729,0.2037,0.332,0.2158,0.2222,0.3115,0.4292,0.3505,3.4186,11.1445,24.2871
5100,0.1821,0.2085,0.3975,0.2263,0.2436,0.3417,0.4742,0.343,4.0479,13.6111,26.2517
5200,0.2094,0.2296,0.5374,0.2661,0.3011,0.3693,0.6022,0.3352,4.0414,15.6349,27.7579
5300,0.2295,0.3039,0.5724,0.2825,0.4051,0.5056,0.5217,0.5212,5.8872,13.7795,27.0909
5400,0.1833,0.2126,0.3894,0.2191,0.2542,0.3385,0.4383,0.3403,4.1178,13.6198,26.8709
5500,0.2246,0.2402,0.3759,0.3996,0.2556,0.3651,0.4778,0.3537,4.0593,13.984,31.2103
5600,0.2096,0.2694,0.4596,0.2719,0.3096,0.4446,0.4956,0.4254,5.4547,16.1294,29.3447
5700,0.2432,0.224,0.4456,0.2406,0.3877,0.4345,0.4903,0.4008,4.6444,14.9176,30.0081
5800,0.2007,0.2606,0.3778,0.2491,0.2827,0.3616,0.4965,0.3668,5.1126,14.9846,33.1507
5900,0.35,0.2495,0.5033,0.3262,0.2951,0.3953,0.5496,0.4416,5.969,17.6556,33.9096
6000,0.2135,0.2436,0.4124,0.256,0.3679,0.3433,0.5412,0.4115,5.096,21.9416,34.5846
6100,0.211,0.2739,0.4539,0.2868,0.3847,0.5955,0.5284,0.4181,4.9756,17.7001,38.9343
